Name,BSE Code,NSE Code,Industry,Current Price,Return over 1day,Market Capitalization,Sales,Profit after tax,Debt,Price to Earning,PEG Ratio,Dividend yield,Dividend Payout,Return on equity,Return on capital employed,EVtoSales,EVEBITDA,Sales growth,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Promoter holding,Enterprise Value,Return over 6months,Price to book value,Return over 1year,Return over 3years,Return over 5years,Average return on equity 3Years,Average return on equity 5Years,Return on assets,Historical PE 3Years,Historical PE 5Years,DMA 50,DMA 200
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,27.51,-2.45,18.73,0,0.6,0.01,31.22,0.83,0,0,31.18,29.44,,28.24,,,,13.21,124.31,37.72,43.58,18.64,-2.76,7.29,22.81,105.28,62.21,22.7,8.04,18.13,31.83,31.42,28.25,28.18
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,96.2,0.89,543.62,342.04,43.88,1111.42,12.39,0.34,0,0,37.01,10.7,3.83,7.01,32.87,16.04,10.45,28.45,41.91,36.28,73.53,1022.07,21.93,4.15,113.3,32.56,15.33,39.42,41.6,2.58,13.55,16.05,107.32,95.47
Aditya AMC,543374,ABSLAMC,Finance & Investments,455,0.78,13108.15,1284.58,707.57,78.13,18.53,1.64,2.25,49.5,25.3,33.13,9.71,13.66,2.51,3,0.38,14.25,6.44,11.33,86.47,13105.14,4.92,4.78,43.69,,,30.86,33.11,22.83,18.26,18.26,481.4,452.52
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,205.55,0.29,19510.18,13468.94,-585.39,10174.77,,,0,0,-2.2,5.03,2.37,18.9,13.94,12.22,,-450.6,17.08,,51.85,29449.01,-4.06,6.64,-2.65,0.32,-1.1,-11.89,,-0.71,96.71,84.95,221.97,227.49
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,175.4,-0.09,45604.38,31590.53,2698.22,99189.74,16.9,0.36,0,0,26.79,11.38,4.65,12.8,21.64,21.79,21.22,30.4,76.47,47.24,68.98,140268,-2.53,1.84,14.57,13.79,12.53,16.55,14.06,3,18.08,18.84,177.75,172.91
Aditya Consumer,540146,,Trading,96.6,5,141.36,92.32,1.1,7.99,128.51,-5.68,0,0,3.07,4.98,1.45,29.8,-4.1,1.32,5.2,-57.69,-27.07,-22.61,55.24,140.66,34.19,5.09,107.74,76.73,5.47,1.26,5.26,1.85,136.84,92.33,94.29,75.3
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,22.84,-1.13,38.24,64,0.78,16.17,49.03,0.32,0,0,10.32,9.17,0.79,11.88,-12.83,6.54,4.94,-80.15,-9.59,151.44,66.37,54.27,0.84,0.78,32.79,56.05,43.15,7.49,10.31,6.05,8.32,7.27,25.18,24.8
Aditya Vision,540205,,Trading,3436.1,2.04,4404.7,1673.89,76,400.58,57.96,0.66,0.22,14.07,59.61,25.24,3.62,29.04,31.14,18.38,24.39,15.91,65.96,87.3,55.62,4786.94,44.23,23.18,126.01,167.95,130.68,55.49,51.32,12.34,27.57,26.65,3437.38,2898.31
Ador Fontech,530431,,Electrodes - Welding Equipment,139.55,1.45,488.43,205.13,25.45,0,19.19,0.89,3.58,75.99,15.84,22.39,2.21,12.2,1.38,5.91,6.61,14.13,26.72,21.58,39.23,460.12,28.62,3.39,61.5,56.51,22.28,15.61,14.07,13.29,13.03,12.86,144.03,130.38
Ador Multi Prod.,523120,,Personal Care - Indian,32.07,0.91,14.99,8.51,-4.68,0,,,0,0,-50.67,-66.42,1.21,-4.22,-40.74,7.23,13.12,47.3,,,38.55,14.68,4.02,3.53,-32.63,-29.08,-1.31,-38.18,-37.99,-42.65,22.34,18.17,36.08,40.7
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1371,-0.26,1864.56,872.61,66.59,33.15,28,1.06,1.28,40.14,19.75,26.76,2.44,17.84,17.75,13.91,11.16,33.77,32.52,26.37,56.9,1894.19,23.89,5.65,47.89,65.42,31.86,14.08,12.38,14.16,27.84,25.47,1436.57,1327.11
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,14.9,-0.33,32.28,21.68,-0.58,2.77,,,0,0,28.22,23.24,1.52,37.97,15.26,40.93,-9.97,-112.66,138.11,-18.45,38.45,34.17,-11.83,4.06,8.84,32.61,4.25,23.24,5.92,14.66,23.35,22.24,17.04,16.18
Advait Infratech,543230,,Construction,1321.8,-1.64,1348.24,,,23.27,,,0,0,21.74,28.68,13.27,,40.99,36.06,18.51,42.55,34.18,9.69,73.53,1346.86,217.55,23.09,384.18,270.45,,19.3,18.98,11.24,35.98,33.83,1205.57,770.53
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,46.73,0.06,29.09,1.51,0.16,42.67,181.81,-4.14,0,0,0.1,0.04,31.06,107.07,88.75,,,-85.05,26.14,-43.9,75,71.74,-18.35,0.94,41.61,,19.47,0.63,-4.95,0.04,134.26,134.26,43.88,42.21
Advance Meter.,534612,,Electric Equipment,36.5,0.22,58.62,18.45,-2.58,11.56,,,0,0,-6.62,-4.57,3.54,19.67,11.01,-13.12,-14.57,52.04,18.29,2.59,63.55,65.29,26.91,0.58,108.81,58.08,5.26,-5.93,-6.7,-5.08,,57.08,41.08,36.94
Advance Petroch.,506947,,Chemicals,185.2,4.99,16.67,32.17,-0.4,7.38,,,0,0,30.87,20.35,0.65,17.68,-13.89,38.7,23.83,-128.78,137.69,63.68,44.32,24.04,16.99,4.67,-59.91,68.81,36.59,20.37,15.11,6.03,25.69,26.17,174.7,152.9
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,348.45,-1.72,3896.51,604.77,140,38.86,27.83,7.84,1.15,10.59,9.23,11.93,7.05,16.46,13.33,6.79,6.69,45.64,-6.05,3.55,43.62,3809.33,8.72,3.12,46.56,-0.33,13.8,11.99,13.67,8.03,29.8,27.56,370.12,343.53
Advani Hotels.,523269,ADVANIHOTR,Hotels,71.9,-3.1,664.63,103.3,25.3,0.8,26.27,0.98,3.34,54.92,50.58,66.37,6.7,17.96,18.9,12.04,9.56,11.21,36.27,26.73,50.25,661.06,61.39,10.85,109.44,36.24,16.12,20.81,21.38,34.52,20.1,22.09,74.85,59.68
Advik Capital,539773,,Finance & Investments,2.51,-4.56,107.47,748.65,5.82,104.68,18.47,0.12,0,0,26.96,21.02,0.35,15.4,82.83,332.3,187.25,-46.46,353.88,147.83,21.8,211.48,5.91,1.67,-29.69,25.17,10.85,17.52,12.67,11.74,14.74,15.16,3.03,2.88
Aegis Logistics,500003,AEGISCHEM,Trading,446.65,13.18,15677.42,7363.22,513.78,2358.98,30.51,1.69,1.29,43.6,15.91,15.9,1.89,16.15,-14.14,6.3,12.48,23.25,65.79,18.1,58.1,16292.37,35.6,4.3,18.7,15.58,17.06,15.43,14.23,9.09,26.74,30.72,399.67,367.67
Aeonx Digital,524594,,Trading,120,0.88,55.2,32,1.94,1.03,28.45,-4.36,0.83,20.44,4.89,6.29,1.84,12.19,44.27,-37.31,-29.33,19.75,29.9,-6.52,54.76,51.06,-4.19,1.28,55.3,18.7,16.89,5.35,-3.38,3.55,26.21,25.57,139.65,131.9
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,121.4,1.85,1569.95,269.38,32.46,0.2,48.37,0.19,0,7.58,32.38,34.56,5.49,27.18,11.87,23.12,17.17,19.08,57.68,252.08,66.99,1478.37,-20.52,5.73,,,,29.3,25.5,16.33,54.23,54.23,140.04,152.46
Aerpace Indus,534733,,Trading,12.65,4.98,172.89,0.89,-0.91,2.47,,,0,0,3.71,5.82,,-357.8,,,,-927.27,-4.66,16.72,50.72,175.32,300.32,59.62,680.86,69.89,41.37,0.66,1.97,2.93,111,66.5,9.86,6.02
Aether Industri.,543534,AETHER,Chemicals,781,0.12,10352.18,664.42,129.39,17.05,80.01,1.06,0,0,15.91,18.44,15.64,47.84,8.07,29.21,43.05,8.84,48.09,75.61,81.79,10182.86,-19.36,5.06,-13.72,,,25.32,28.5,12.07,90.35,90.35,838.58,890.36
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1041.7,-0.91,14605.58,1692.41,272.15,228.15,53.67,0.99,0,0,18.51,20.2,10,37.88,21.48,62.56,53.69,8.57,55.12,54.45,56.93,14337.9,-5.89,9.16,8.47,-0.5,,24.89,27.36,12.81,65.56,66.37,1111.97,1115.79
Affordable Robo.,541402,,Engineering,429.3,-1.81,482.8,138.46,3.93,42.78,122.85,-7.75,0,0,3.83,7.74,4.64,51.79,100.26,3.36,8.55,160,-11.06,-15.85,61.48,522.06,-33.61,9.13,43.72,67.94,31.77,0.81,4.32,1.51,66.84,39.36,482.52,501.38
Agarwal Float,,AGARWALFT,Trading,52.9,-1.76,38.32,66.79,0.93,11.82,41.2,,0,0,27.14,23.93,1.03,21.04,14.47,14.52,,180.22,163.11,,69.77,49.66,25.95,2.38,41.07,,,25.7,,11.41,8.03,8.03,55.19,51.88
Agarwal Indl.,531921,AGARIND,Petrochemicals,800.4,-0.44,1197.22,2008.39,99.51,206.88,12.03,0.22,0.31,4.05,26.21,23.55,0.69,8.7,0.09,36.8,37.23,13.49,53.6,54.64,57.2,1385.62,-10.91,2.69,48.3,72.77,38.17,25.38,22.46,14.07,10.25,8.93,917.13,880.33
AGI Greenpac,500187,AGI,Packaging,726.5,-2.32,4700.26,2476.33,282.59,801.57,16.63,0.62,0.69,12.36,17.45,14.76,2.3,8.38,21.81,7.06,0.28,47.95,77.2,26.96,60.24,5258.12,-18.9,2.77,128.64,66.68,57.57,13.33,8.97,8.18,14.93,13.53,796.99,758.52
AGI Infra,539042,,Construction,904.5,0.95,1105,278.87,56.07,76.4,19.71,0.6,0.11,2.54,32.13,30.25,4.57,14.22,22.55,38.15,14.59,23.12,47.12,32.69,72.94,1096.54,53.97,5.54,92.53,117.67,70.54,30.05,27.85,7,13.44,9.46,927.67,767.36
Agio Paper,516020,,Paper,6.78,-4.91,10.94,0.12,-1.23,13.19,,,0,0,,-3.34,,-100.29,,,,12.77,2.72,4.74,63.56,24.07,77.49,3.24,81.28,56.17,21.6,,,-5.95,,,5.06,4.18
Agni Green,,AGNI,Electric Equipment,58.7,2.26,114.67,31.62,2.65,9.6,43.27,,0,0,-4.94,0.2,5.64,28.05,42.99,-0.41,,-883.33,,,70.57,124.27,118.22,3.75,219.89,,,-1.38,,-3.22,153.59,153.59,61.59,42.08
Agri-Tech India,537292,AGRITECH,Miscellaneous,226.4,4.79,134.48,0.15,8.13,0.73,16.54,1.92,0,0,-0.43,-0.35,587.39,16.34,-34.78,-15.41,7.53,639.09,3.01,8.63,31.1,135.1,19.95,1.47,145.02,92.38,35.21,-0.57,-0.62,-0.33,38.21,45.88,191,176.07
Agro Phos India,,AGROPHOS,Fertilizers,36.2,-4.11,73.39,131.02,5,,14.68,,0,0,,,,,,,,,,,54.27,,-1.63,,17.15,43.31,-12.41,,,,18.16,18.16,43.64,41.23
Agro Tech Foods.,500215,ATFL,Food - Processing - Indian,682,-1.82,1662.03,783.24,13.95,23.93,119.14,-9,0.44,48.48,3.26,4.55,1.98,38.51,-8.97,0.57,0.92,-6.31,-21.3,-13.24,51.77,1680.85,-15.61,3.4,-20.6,-6.44,2.7,5.15,6.38,2.47,107.27,90.51,792.27,825.52
AGS Transact,543451,AGSTRA,Computers - Hardware,67.4,4.98,823.98,1546.18,-91,1236.62,,,0,0,7.6,12.16,1.16,7.37,-6.03,-2.45,2.56,-2369.33,-23.16,41.66,65.52,1932.42,11.13,1.72,47.48,,,0.72,6.79,1.67,25.59,25.59,83.83,80.49
Ahasolar Technol,543941,,Trading,431.55,4.63,133.02,20.87,1.6,0,83.14,0.47,0,0,65.71,58.35,6.08,70.49,20.64,152.92,,102.53,330.89,176.63,36.95,126.88,43.83,8.92,,,,82.61,,41.94,46.41,46.41,447.32,348.65
Ahlada Engineers,,AHLADA,Steel - Medium / Small,109.45,-2.19,141.42,199.32,10.24,47.36,13.81,-1.57,1.28,35.54,4.1,8.01,1.18,5.69,40.15,12.76,4.63,332.07,-12.74,-8.81,50.5,186.91,8.58,1.1,30.61,6.21,3.27,5.69,7.28,2.67,22.34,18.17,117.58,117.21
Ahluwalia Contr.,532811,AHLUCONT,Construction,1021.4,0.49,6842.11,3554.69,247.83,88.21,27.61,2.55,0.04,1.38,17.05,24.7,2.26,14.98,31.35,14.62,11.51,50.92,44.19,10.83,55.32,6408.49,45.18,5.14,85.89,50.06,25.75,14.54,13.87,8.5,22.54,22.38,1009.84,819.7
Ahm. Steelcraft,522273,,Steel - Medium / Small,37,1.73,15.13,1.33,-0.94,0,,,0,0,-2.42,-2.26,6.03,-17.76,-30.73,-32.1,-23.97,-42.42,9.96,,67.89,13.32,45.84,0.62,118.29,34.52,19.63,-1.9,-0.87,-2.34,,5.44,38.04,30.11
AI Champ.Inds.,532806,,Textiles - Jute - Yarn / Products,50.36,-3.76,154.88,51.65,22.3,24.62,6.95,,0,0,-52.28,-29.73,3.67,6.3,25.76,-27.6,-18.08,1122.94,,,58.9,178.99,30.81,2.15,98.82,69.84,28.83,-27.35,-16.44,-13.03,9.58,11.04,53.18,45.31
AIA Engineering,532683,AIAENG,Castings & Forgings,3915.25,0.74,36928.78,4977.11,1142.69,483.83,32.32,1.69,0.41,14.29,20.05,25.07,7.36,22.26,5.26,18.23,14.96,16.39,23.01,19.13,58.47,36104.08,11.46,6.02,34.76,25.63,16.87,16.11,15.8,17.83,30.8,30.26,3761.8,3542.23
Aik Pipes & Poly,544072,,Plastics Products,115,0.61,73.17,30.48,1.88,4.3,38.92,,0,0,49.21,32.87,2.53,25.4,49.27,68.6,,113.64,118.59,,100,77.21,,,,,,51.85,,15.54,7.94,7.94,112.73,110.31
Aimco Pesticides,524288,,Pesticides / Agrochemicals - Indian,90.45,-2.64,86.67,212.05,-10.8,18.88,,,1.11,-47.66,-4.51,-0.66,0.51,-15.73,-12.19,3.85,13.63,-307.29,,,53.5,104.15,-23.44,2.16,-16.98,0.3,-6.72,8.05,11.93,-1.39,21.93,17.45,110.83,121.15
Aion-Tech Soluti,531439,GOLDTECH,Computers - Software - Medium / Small,126.35,-2.96,436.94,96.45,-2.16,13.24,,,0,0,0.67,2.89,4.72,372.08,16.34,29.54,21.16,-683.78,76.93,-21.26,53.89,439.06,23.57,6.38,170.85,140.35,59.6,0.24,-0.24,0.5,345.94,310.97,140.43,117.69
Airan,543811,AIRAN,Computers - Software - Medium / Small,23.2,-0.85,290.05,89.16,9.84,1.75,29.48,1.37,0,0,9.08,11.84,3.27,16.85,3.69,15.02,21.04,3.58,10.37,21.51,72.37,282.12,-5.88,2.69,63.38,13.66,-5.31,7.28,6.95,7.6,29.85,31.33,26.34,24.29
Airo Lam,,AIROLAM,Miscellaneous,153.5,0.62,230.28,206.67,8.91,52.57,25.85,1.44,0,0,12.26,12.58,1.41,13.39,5.37,23.43,16.4,30.65,15.68,17.89,53.01,280.19,38.1,3.34,137.25,78.48,34.48,12.22,11.94,4.59,18.4,16.37,155.1,128.65
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2230.85,1.7,28090.12,4036.47,735.7,33.02,38.18,7.87,1.61,15.04,17.86,22.61,7.44,24.68,8.18,13.09,11.98,19.25,8.08,4.85,66.21,27860.37,23.94,8.07,84.52,21.57,26.45,21.17,20.38,13.84,26.31,25.82,2126.46,1886.69
Ajanta Soya,519216,,Miscellaneous,27.74,-0.57,223.26,1059.78,0.98,0,227.82,-650.91,0,0,0.46,4.05,0.15,23.95,-17.72,17.6,29,-91.61,-60.82,-0.35,47.21,186.56,-22.06,1.79,20.61,24.03,47.45,22.91,19.05,0.23,9.69,7.85,31,31.87
Ajcon Global,511692,,Finance & Investments,34.48,7.72,21.1,15.66,0.92,11.79,22.93,-4.6,0,0,2.57,4.65,3.66,12.95,-44.88,-32.45,0.83,-33.33,33.08,-4.98,67.04,31.46,20.69,0.93,34.53,12.22,1.82,5.65,1.92,1.57,15.17,15.42,37.91,34.97
Ajel,530713,,Computers - Software - Converts,15.86,2.99,18.48,13.92,-1.7,5.35,,,0,0,-0.91,-0.55,2.89,-15.38,147.25,24.19,3.94,-486.21,19.75,13.25,50.05,23.53,19.97,1.23,94.84,63.78,20.28,-1.24,-3.14,-0.54,,3.61,15.69,14.05
Ajmera Realty,513349,AJMERA,Construction,722.8,-0.57,2564.49,582.41,88.34,827.07,29.03,-10.48,0.42,14.89,9.64,7.48,7.78,19.16,17.1,7.77,3.13,25.48,29.69,-2.77,69.74,3354.46,90.26,3.18,162.17,83.54,30.65,7.08,7.75,3.63,20.7,17.31,657.85,499.5
Ajooni Biotech,,AJOONI,Food - Processing - Indian,5.9,-5.6,51.69,101.79,1.78,3.09,29.04,1.2,0,0,3.86,6.01,0.72,14.17,89.41,22.99,11.99,235.85,44.66,24.13,26.44,53.42,31.11,1.26,76.12,-10.46,3.66,4.19,3.85,2.55,89.45,89.73,6.03,5.87
Ajwa Fun World,526628,,Recreation / Amusement Parks,20.81,-4.98,13.3,2.82,0.28,5.04,47.5,1.44,0,0,,17.1,6.66,28.08,4.44,11.81,-1.99,800,30.46,33.03,49.54,18.25,-18.23,,15.68,44.97,-1.77,,,4.24,37.91,37.91,25.21,20.34
Akanksha Power,,AKANKSHA,Electric Equipment,77.45,-1.84,143.43,46.09,2.95,17.23,48.62,,0,0,20.33,19.47,3.35,27.53,-11.09,30.86,,22.41,51.4,,60.81,154.18,,,,,,26.47,,6.86,6.07,6.07,91.71,80.17
Akar Auto Indust,530621,,Auto Ancillaries,112.2,2.42,121.04,380.87,7.32,61.27,16.54,1.54,0.45,7.83,19.1,17.61,0.49,7.4,8.14,22.8,8.71,18.64,61.96,10.75,73.06,178.85,26.21,2.87,67.16,85.77,23.79,12.02,8.95,3.98,13.64,11.02,122.78,111.34
Akash InfraProj.,,AKASH,Construction,31.3,-4.28,52.78,57.59,-2.89,79.96,,,0,0,1.66,4.97,2.04,49.39,-35.5,-5.27,-17.33,-171.89,30.57,-7.15,74.59,125.95,6.64,0.64,35.5,-48.14,-9.3,1.98,1.8,0.81,34.55,46.21,36,34.82
AKG Exim,,AKG,Trading,17.9,0.56,56.88,195.64,2.18,14.04,26.09,,0,0,6.69,8.53,0.32,16.64,-17.75,49.33,,8.46,31.53,,57.84,70.7,-28.26,1.16,-40.33,-16.73,11.91,7.28,,4.22,34.58,35,21.76,24.69
AKI India,542020,AKI,Leather / Leather Products,20.1,-2.66,172.39,61.29,1.02,29.51,169.01,6.14,0,0,7.45,7.87,3.62,37.68,2.37,10.54,5.65,-75.83,12.92,27.54,53.57,200.46,89.62,9.01,18.93,121.48,64.08,7.27,6.66,1.77,104.05,98.67,24.07,22.25
AKM Creations,540718,,Trading,100.8,2.41,86.81,20.39,0.28,0,310.04,6.94,0,0,3.56,5.2,6.53,192.11,852.8,84.4,-0.2,163.64,48.88,44.65,11.27,86.45,146.15,4.04,66.61,80.12,38.89,-0.81,-0.98,2.99,66.45,66.67,81.58,57.32
Aksh Optifibre,532351,AKSHOPTFBR,Cables - Telephone,8.05,-1.23,130.97,249.56,-16.89,169.19,,,0,0,8.02,9.05,0.99,10.46,-15.44,-1.56,-14.26,-1028.02,29.64,-19.58,26.77,284.29,-31.78,1.97,-4.17,13.54,-15.65,-5.76,-4.39,1.68,96.36,13.97,10.41,10.73
Akshar Spintex,541303,AKSHAR,Textiles - Cotton/Blended,2.25,-4.26,67.5,164.21,5.94,17.27,11.36,,0.37,0,-6.58,-3.66,0.63,7.85,13.19,7.5,7.8,201.71,14.94,,15.23,84.76,-57.79,1.59,-55.8,38.88,3.66,4.66,1.03,-3.26,17.09,12.29,3.41,4.61
AksharChem (I),524598,AKSHARCHEM,Dyes And Pigments,253.3,-0.43,203.48,285,-14.62,37.34,,,0.2,-42.71,-0.34,0.86,0.71,75.26,-25.37,8.76,4.84,-495.14,,,62.7,238.56,-11.83,0.77,24.56,2.62,-5.23,3.25,4.73,-0.25,21.55,16.03,284.9,273.8
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes,2384.7,-1.19,10860,3939.6,413.3,62.8,26.28,-9.95,2.73,88.26,26.1,34.71,2.71,15.7,5.97,12.62,6.93,32.12,12.26,-2.64,74.76,10310.9,-4.94,8.12,3.35,1.47,5.75,21.84,20.35,12.6,32.62,34.59,2540.36,2534.35
Alacrity Sec.,535916,,Finance & Investments,63,-4.11,132.8,216.34,9.13,9.78,14.55,0.21,0,0,14.05,16.59,0.64,9.53,-11.1,6.77,22.37,187.11,35.28,69.63,65.73,132.98,400,4.13,444.04,109.01,61.41,14.75,-1.98,8.49,7.28,7.28,48.21,28.37
Alan Scott Inds.,539115,,Textiles - Products,68.75,10,12.55,8.84,-2.51,5.88,,,0,0,-82.51,-35.79,3.37,65.19,113.53,,,-44.18,,,60.77,17.6,-5.94,14.37,70.77,62.24,43.17,,,-24.06,,,82.89,76.83
Alankit,531082,ALANKIT,Computers - Software - Medium / Small,17.75,4.72,398.59,292.73,19.64,12.89,20.29,-15.85,0,0,13.85,7.8,1.25,11.29,52.11,25.92,24.29,783.2,17.98,-1.28,52.02,390.33,63.59,2.36,150,4.29,-10.81,9.26,11.78,7.53,23.7,20.21,17.95,15.19
Albert David,524075,ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,1077.45,1.04,615.22,354.83,66.24,0.94,9.29,0.27,0.84,14.21,12.24,17.04,1.76,6.37,6.07,2.17,3.64,80.88,24.03,35.05,62.04,599.09,39.06,1.76,107.22,41.5,22.48,11.52,11.36,8.77,9.65,9.5,1178.03,984.09
Alembic,506235,ALEMBICLTD,Construction,83.45,3.86,2142.84,145.56,255.32,5,8.39,1.85,2.64,29.63,8.67,4.18,16.86,21.25,34.33,19.84,0.31,78.16,-15.41,4.54,70.88,2144.67,5.77,1.01,47.7,-6.33,19.72,11.56,14.4,8.2,9.3,7.77,90.94,85.7
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,984.8,0.01,19357.54,6118.1,590.21,868.77,32.8,-9.97,0.81,45.98,7.2,7.4,3.55,22.26,8.06,7.07,12.54,179.31,-25.42,-3.29,69.61,20078.51,25.54,4.33,110.14,1.01,12.86,14.22,17.51,5.2,28.25,18.99,957.39,823.35
Alexander Stamps,511463,,Trading,13.21,-0.9,12.3,0.38,-0.01,0.03,,,0,0,-0.12,-0.12,22.33,,-53.09,7.72,-35.84,91.67,0,,0.19,12.28,-17.02,0.73,-22.7,-10.11,1.27,-0.1,0.01,-0.11,372.5,246.17,15.29,16.17
Alfa Ica (I),530973,,Miscellaneous,55.13,-0.76,22.27,63.93,1.48,14.09,15.05,4.11,0,0,7.55,10.07,0.56,7.96,-9.98,4.61,2.74,6.47,6.17,3.66,71.12,35.99,6.02,1.07,45.08,33.73,11.15,8.39,8.36,3.44,11.62,10.54,60.22,55.92
Alfa Transformer,517546,,Electric Equipment,88.2,0,80.71,46.86,7.71,8.9,10.47,0.55,0,0,7.82,9.84,3.01,20.78,87.07,-4.07,-8.93,3957.89,28.93,19.07,47.49,87.05,51.73,3.72,354.4,111.67,28.47,-28.64,-19.45,3.22,15.88,15.88,95.54,71.99
Alfavision Overs,531156,,Miscellaneous,14.19,-3.34,44.74,58.58,-2.16,156.46,,,0,0,-5.22,1.37,3.43,75.31,-67.74,-28.01,-9.89,-207.46,,,24.8,201.07,-27.04,1.11,35.14,54.47,32.54,1.73,1.8,-0.83,20.63,20.98,15.93,16.92
Alfred Herbert,505216,,Finance & Investments,1465,-3.62,112.81,1.82,1.44,0.01,78.34,2.2,0.24,13.15,1.89,1.84,40.34,78.97,-32.84,-39.25,-28.46,5.11,29.54,35.68,73.86,111.35,87.6,1.01,114.81,39.06,17.84,0.84,1.32,1.78,42.07,39.41,1529.2,1163.23
Algoquant Fin,505725,,Finance & Investments,1334,4.54,1072,43.18,-1.06,24.52,,,0,0,-8.64,-9.93,85.37,876.9,142.04,,,-126.17,21.68,,65.9,1096.12,104.29,30.44,155.65,260.51,163.51,3.56,-9.67,-5.12,82.24,76.61,1351.52,1017.09
Alicon Cast.,531147,ALICON,Auto Ancillaries,823.85,1.82,1327.37,1459.32,50.44,313.5,26.32,4.31,0.76,19.59,11.02,12.46,1.17,9.43,4.05,13.54,6.69,-8.17,44.7,6.11,55.71,1633.73,-4.47,2.6,24.08,24.74,7.05,6.34,8.15,4.92,28.74,27.09,880.3,866.13
Alkali Metals,533029,ALKALI,Chemicals,103.35,-4.26,105.21,85.34,1.62,27.23,64.94,3.8,1.94,69.97,5.66,9.28,1.5,12.87,-6.29,7.59,6.32,-29.26,27.29,17.08,69.59,132.16,-9.34,2.07,16.52,26.26,20.08,2.94,2.98,2.99,57.02,38.37,118.19,120.87
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,4942,-1.24,59089.02,12634.36,1682.46,1441.33,35.12,3.14,0.71,60.74,12.12,13.67,4.93,23,13,11.6,12.62,63.76,-1.66,11.18,56.74,57229.67,37.05,6,49.74,21.73,23.06,18.13,17.86,7.88,29.13,27.31,5015.42,4435.32
Alkosign,543453,,Printing & Stationery,171,-1.64,123.03,33.52,5.98,14.08,20.57,,0,0,-3.71,3.69,5.76,11.46,119.95,17.32,,476.1,,,53.28,123.2,50.66,3.59,125.21,,,-5.94,,-1.45,0.1,0.1,190.61,162.22
Alkyl Amines,506767,ALKYLAMINE,Chemicals,1813.95,-1.54,9273.09,1495.66,159.08,93.53,58.29,2.01,0.55,22.37,21.46,27.87,5.56,34.12,-11.81,19.22,22.25,-29.74,6.96,28.99,71.96,9351.17,-21.12,7.76,-16.49,-7.09,40.34,28.54,30,15.64,60.94,55.18,2122.39,2309.46
All E Tech,,ALLETEC,Computers - Software - Medium / Small,251.45,7.34,507.78,109.69,17.47,0,29.07,,0.4,17.42,15.97,21.07,4.63,16.83,33.59,17.74,,59.24,87.03,,50.01,405.86,53.28,4.77,192.89,,,19.57,,12.37,18.84,18.84,263.78,219.52
Allcargo Gati,532345,ACLGATI,Trading,96.05,-0.31,1251.07,1707.86,-32.78,351.07,,,0,0,-1.22,3.43,0.87,23.37,1.4,0.3,-0.15,-241.91,24.08,,52.94,1499.22,-37.73,2.04,-4.14,-2.54,1.99,-3.31,-3.71,-0.66,1606.82,292.75,113.43,128.85
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,71.6,-1.72,7036.72,13184.61,138.66,1724.99,50.75,1.76,1.13,12.68,20.1,18.49,0.45,13.83,-34.47,34.94,24.44,-82.25,47.56,28.89,69.92,8038.04,5,2.77,2.15,43.96,26.13,20.46,17.02,7.4,14.27,11.81,75.68,73.89
Allcargo Termi,543954,ATL,Miscellaneous,53.75,0.75,1320.61,734.96,48.06,397.06,27.48,,0.93,0,55.05,28.26,2.39,12.38,450.43,,,1656.98,,,69.92,1689.05,57.39,6.16,,,,,,12.2,,,60.28,54.11
Alliance Integ.,534064,,Steel - Medium / Small,52.83,-3.31,695.51,56.48,-110.15,261.18,,,0,0,,,16.21,106.42,-17.76,3.87,-6.66,-51.53,-1.58,-17.72,62.94,950.35,79.39,,60.09,227.79,42.38,,,-25.3,,,45.75,37.51
Allied Digital,532875,ADSL,Computers - Software - Medium / Small,139.15,-1.1,769.43,676.54,41.26,43.45,18.65,0.51,0.9,99.06,10.08,12.77,1.08,9.06,4.04,25.98,24.03,-32.44,40.83,36.56,52.26,713.56,5.42,1.38,85.91,46.18,59.69,7.67,6.07,7.75,15.06,11.99,148.85,135.88
